City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Antanifotsy,MG,-19.65,47.3167,49.14,95,100,7.81,overcast clouds
1,Atuona,PF,-9.8,-139.0333,77.45,67,36,17.47,scattered clouds
2,Opuwo,NA,-18.0607,13.84,55.51,32,0,6.42,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,100,20.98,light rain
4,Samarai,PG,-10.6167,150.6667,80.17,83,61,7.14,light rain
5,Yeppoon,AU,-23.1333,150.7333,74.98,55,17,4.12,few clouds
6,Albany,US,42.6001,-73.9662,67.82,82,39,2.08,scattered clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,71.42,89,47,6.38,scattered clouds
8,Hilo,US,19.7297,-155.09,77.25,93,83,1.99,moderate rain
9,Ushuaia,AR,-54.8,-68.3,39.65,97,100,6.73,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,44.76,67,84,5.99,broken clouds
11,Chifeng,CN,42.2683,118.9636,70.93,86,100,1.95,light rain
12,Rikitea,PF,-23.1203,-134.9692,73.56,82,69,13.04,light rain
13,Jamestown,US,42.097,-79.2353,68.29,89,44,3.94,scattered clouds
14,Lebu,CL,-37.6167,-73.65,49.12,77,0,7.36,clear sky
15,Mataura,NZ,-46.1927,168.8643,57.47,73,76,4.65,broken clouds
16,Kaitangata,NZ,-46.2817,169.8464,53.92,72,18,7.54,few clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,50.99,70,99,9.8,overcast clouds
18,Avarua,CK,-21.2078,-159.775,68.05,94,90,8.05,moderate rain
19,Tadine,NC,-21.55,167.8833,74.1,59,67,10.42,broken clouds
20,Mbuji-Mayi,CD,-6.15,23.6,70.05,39,8,1.74,clear sky
21,Pirgos,GR,35.1167,25.7178,80.94,52,0,9.64,clear sky
22,Tuatapere,NZ,-46.1333,167.6833,57.81,66,97,6.96,overcast clouds
23,Saint George,US,37.1041,-113.5841,99.39,21,1,3,clear sky
24,Paamiut,GL,61.994,-49.6678,44.33,86,57,0.72,broken clouds
25,Tocopilla,CL,-22.092,-70.1979,64.83,53,68,9.13,broken clouds
26,Greymouth,NZ,-42.4667,171.2,56.17,68,99,3.65,overcast clouds
27,Upernavik,GL,72.7868,-56.1549,46.92,82,100,9.89,overcast clouds
28,Almeirim,BR,-1.5233,-52.5817,79.27,69,91,2.75,overcast clouds
29,Souillac,MU,-20.5167,57.5167,71.37,75,100,21.54,overcast clouds
30,Port Hardy,CA,50.6996,-127.4199,64.65,79,72,12.1,broken clouds
31,Nikolskoye,RU,59.7035,30.7861,66.09,97,59,5.5,broken clouds
32,Isangel,VU,-19.55,169.2667,76.68,57,19,9.06,few clouds
33,Mangrol,IN,21.1167,70.1167,82.06,83,100,23.42,overcast clouds
34,Nanortalik,GL,60.1432,-45.2371,44.4,90,70,8.59,broken clouds
35,Sistranda,NO,63.7256,8.834,64.36,91,97,4.03,overcast clouds
36,Luderitz,NA,-26.6481,15.1594,53.02,79,0,16.02,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,12.66,clear sky
38,Ahuimanu,US,21.4447,-157.8378,81.79,71,40,13.8,scattered clouds
39,Yellowknife,CA,62.456,-114.3525,66.29,67,33,10,scattered clouds
40,Castro,BR,-24.7911,-50.0119,36.97,67,12,9.82,few clouds
41,Bluff,NZ,-46.6,168.3333,57.79,70,72,7.9,broken clouds
42,Edd,ER,13.9297,41.6925,90.7,61,100,1.86,overcast clouds
